Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,chunkX,chunkZ,active_logic,Chunks,players,duration,terrain_type,GhostSimulationSystemGroup,PredictedSimulationSystemGroup
4042465526.0,296684393775.0,55434828124160.0,3712785182720.0,72680598466560.0,34705780485.0,0.0,592900140.0,0.0,41260594.0,2504002.0,2851108.0,27496287.0,26188680.0,1273073.0,3762241.0,71105509.0,1262272.0,2445652.0,0.0,5995792.0,0.0,78892.0,base-activeLogic_1-Layer_1x_1z_1p_300s.csv,78892,1,1,True,1,1,300,1-Layer,,
4381005196.0,296330590399.0,59246366121984.0,4151920025600.0,75148090007552.0,33699243687.0,0.0,601909916.0,0.0,74013370.0,2464541.0,12820079.0,48145729.0,46064559.0,2046096.0,6148464.0,70823475.0,2647808.0,5130128.0,0.0,6288544.0,0.0,82744.0,base-activeLogic_1-Layer_1x_2z_1p_300s.csv,82744,1,2,True,2,1,300,1-Layer,,
4054910355.0,296343511501.0,57726574977024.0,3859221995520.0,71538941812736.0,34607836476.0,0.0,613573613.0,0.0,110119771.0,2616300.0,9516612.0,83132103.0,79647648.0,3436588.0,9811362.0,75726537.0,3788640.0,7340490.0,0.0,5998680.0,0.0,78930.0,base-activeLogic_1-Layer_1x_3z_1p_300s.csv,78930,1,3,True,3,1,300,1-Layer,,
4534131577.0,293597933228.0,61863097933824.0,4211844382720.0,78575459450880.0,32144731400.0,0.0,571071919.0,0.0,123093056.0,2197703.0,4600989.0,100026398.0,90780587.0,9210850.0,12120919.0,68637934.0,5329472.0,10325852.0,0.0,6328748.0,0.0,83273.0,base-activeLogic_1-Layer_1x_4z_1p_300s.csv,83273,1,4,True,4,1,300,1-Layer,,
4424318370.0,296020162043.0,60722483728384.0,4421460971520.0,75455647223808.0,33189759757.0,0.0,583442864.0,0.0,163655564.0,2579104.0,6915178.0,129221746.0,123885794.0,5287922.0,20491442.0,69743057.0,6617040.0,12820515.0,0.0,6286188.0,0.0,82713.0,base-activeLogic_1-Layer_1x_5z_1p_300s.csv,82713,1,5,True,5,1,300,1-Layer,,
4035474729.0,293969803652.0,56304037294080.0,4312162893824.0,71383209721856.0,35375087222.0,0.0,599560062.0,0.0,188907832.0,2500318.0,6551828.0,158100701.0,151216415.0,6836780.0,17264629.0,74814975.0,7491744.0,14515254.0,0.0,5930964.0,0.0,78039.0,base-activeLogic_1-Layer_1x_6z_1p_300s.csv,78039,1,6,True,6,1,300,1-Layer,,
4050504283.0,294556691057.0,58644427890688.0,4275498889216.0,71371377700864.0,34999490133.0,0.0,617803181.0,0.0,270277533.0,2594162.0,19917698.0,219491594.0,210447068.0,8997344.0,23465211.0,72585103.0,9994112.0,19363592.0,0.0,5934004.0,0.0,78079.0,base-activeLogic_1-Layer_2x_4z_1p_300s.csv,78079,2,4,True,8,1,300,1-Layer,,
4113388356.0,294301314059.0,56793167355904.0,3799776043008.0,71325474824192.0,34146504042.0,0.0,599436151.0,0.0,310582704.0,2572965.0,9972521.0,264932562.0,254123457.0,10769312.0,28361826.0,69193898.0,12570880.0,24356080.0,0.0,5971168.0,0.0,78568.0,base-activeLogic_1-Layer_2x_5z_1p_300s.csv,78568,2,5,True,10,1,300,1-Layer,,
4287697146.0,294207567742.0,60703807991808.0,4316061937664.0,74824755163136.0,33994167964.0,0.0,583438310.0,0.0,354192397.0,2520757.0,12219794.0,303007169.0,289956571.0,13008754.0,31825695.0,69031140.0,15449856.0,29934096.0,0.0,6115568.0,0.0,80468.0,base-activeLogic_1-Layer_2x_6z_1p_300s.csv,80468,2,6,True,12,1,300,1-Layer,,
4027592435.0,295504005996.0,57478807347200.0,4178085007360.0,71789615599616.0,35188137256.0,0.0,620893552.0,0.0,286503218.0,2530653.0,9142753.0,244010669.0,233500155.0,10461649.0,26049076.0,70501838.0,11349216.0,21989106.0,0.0,5989864.0,0.0,78814.0,base-activeLogic_1-Layer_3x_3z_1p_300s.csv,78814,3,3,True,9,1,300,1-Layer,,
4144991218.0,293453547751.0,59819049226240.0,4058095484928.0,72416606633984.0,34598063536.0,0.0,615234569.0,0.0,452660998.0,2467696.0,15447382.0,389701986.0,373230404.0,16424608.0,40628727.0,71350307.0,19088880.0,36984705.0,0.0,6044812.0,0.0,79537.0,base-activeLogic_1-Layer_3x_5z_1p_300s.csv,79537,3,5,True,15,1,300,1-Layer,,
4143500203.0,293895374541.0,61298691010560.0,4064895782912.0,71997976465408.0,34835718759.0,0.0,602456638.0,0.0,562200864.0,2598369.0,18357481.0,486334280.0,461544643.0,24727902.0,50211012.0,69314002.0,22764096.0,44105436.0,0.0,6007192.0,0.0,79042.0,base-activeLogic_1-Layer_3x_6z_1p_300s.csv,79042,3,6,True,18,1,300,1-Layer,,
3869778594.0,294009105113.0,56595138654208.0,3899630481408.0,69356950122496.0,36359753173.0,0.0,622243571.0,0.0,542503109.0,2777749.0,14874458.0,470421335.0,450947680.0,19414248.0,49481276.0,74978759.0,19497984.0,37777344.0,0.0,5788464.0,0.0,76164.0,base-activeLogic_1-Layer_4x_4z_1p_300s.csv,76164,4,4,True,16,1,300,1-Layer,,
4165800219.0,294456386186.0,60468221231104.0,3974046371840.0,73823134076928.0,33580907569.0,0.0,564891432.0,0.0,548355386.0,2318765.0,14638954.0,476763260.0,456584128.0,20129615.0,50216264.0,69042763.0,25522560.0,49449960.0,0.0,6061608.0,0.0,79758.0,base-activeLogic_1-Layer_4x_5z_1p_300s.csv,79758,4,5,True,20,1,300,1-Layer,,
4162891284.0,294309099251.0,62546047369216.0,4021041541120.0,74859972571136.0,35009624129.0,0.0,605053572.0,0.0,769135077.0,2576881.0,20353783.0,671424814.0,643937720.0,27438254.0,70032135.0,72342140.0,30477312.0,59049792.0,0.0,6031968.0,0.0,79368.0,base-activeLogic_1-Layer_4x_6z_1p_300s.csv,79368,4,6,True,24,1,300,1-Layer,,
4000483165.0,293936515371.0,60177441550336.0,4136480206848.0,71467082592256.0,35594679486.0,0.0,610662185.0,0.0,795435763.0,2717255.0,20666653.0,694999213.0,666259207.0,28693261.0,72104297.0,74021469.0,31336400.0,60714275.0,0.0,5953916.0,0.0,78341.0,base-activeLogic_1-Layer_5x_5z_1p_300s.csv,78341,5,5,True,25,1,300,1-Layer,,
4029734097.0,294348617600.0,61381631586304.0,4444318896128.0,71865764564992.0,35924185902.0,0.0,634719425.0,0.0,969383620.0,2642175.0,28173397.0,842801517.0,806601731.0,36139596.0,90692838.0,74097861.0,37685280.0,73015230.0,0.0,5966836.0,0.0,78511.0,base-activeLogic_1-Layer_5x_6z_1p_300s.csv,78511,5,6,True,30,1,300,1-Layer,,
4419531900.0,294407114732.0,65427245252608.0,4381164601344.0,76056961007616.0,33332775439.0,0.0,562001367.0,0.0,1002602933.0,2321445.0,24295303.0,879176420.0,842555036.0,36561159.0,92291403.0,67323444.0,47131200.0,91316700.0,0.0,6218700.0,0.0,81825.0,base-activeLogic_1-Layer_6x_6z_1p_300s.csv,81825,6,6,True,36,1,300,1-Layer,,
3911156817.0,293948077568.0,56301119688704.0,3917474713600.0,69867077292032.0,36337705453.0,0.0,630059105.0,0.0,1023175413.0,2739861.0,24088599.0,895642105.0,857009084.0,38570412.0,95545636.0,71179565.0,39318528.0,76179648.0,0.0,5836344.0,0.0,76794.0,base-activeLogic_2-Layer_4x_4z_1p_300s.csv,76794,4,4,True,32,1,300,2-Layer,,
3672800625.0,294862459398.0,55846255325184.0,3680789970944.0,68361139077120.0,37727937720.0,0.0,643003690.0,0.0,1351654148.0,2952536.0,31286547.0,1184239976.0,1133616649.0,50550398.0,127477865.0,74855081.0,47307520.0,91658320.0,0.0,5617768.0,0.0,73918.0,base-activeLogic_2-Layer_4x_5z_1p_300s.csv,73918,4,5,True,40,1,300,2-Layer,,
4340146509.0,294100786254.0,62077286412288.0,4366928408576.0,74279437348864.0,34091040088.0,0.0,573183937.0,0.0,1292804012.0,2420188.0,31438590.0,1134005468.0,1086576040.0,47373758.0,120386720.0,64598897.0,62486784.0,121068144.0,0.0,6183588.0,0.0,81363.0,base-activeLogic_2-Layer_4x_6z_1p_300s.csv,81363,4,6,True,48,1,300,2-Layer,,
3803825410.0,294454838192.0,57040642035712.0,3794840899584.0,68543454236672.0,37646467185.0,0.0,630339846.0,0.0,1739040383.0,2852909.0,39229449.0,1529789261.0,1460955120.0,68771941.0,161619196.0,72338874.0,60368000.0,116963000.0,0.0,5734960.0,0.0,75460.0,base-activeLogic_2-Layer_5x_5z_1p_300s.csv,75460,5,5,True,50,1,300,2-Layer,,
4182847755.0,289190912802.0,60957420720128.0,4548297814016.0,71211962740736.0,34812707558.0,0.0,587203977.0,0.0,1699922140.0,2541601.0,47267869.0,1488256261.0,1426726513.0,61480387.0,156930229.0,66172445.0,74462400.0,144270900.0,0.0,5894940.0,0.0,77565.0,base-activeLogic_2-Layer_5x_6z_1p_300s.csv,77565,5,6,True,60,1,300,2-Layer,,
3625371247.0,293914012531.0,60227689930752.0,4219609931776.0,68730029776896.0,38791973450.0,0.0,649343828.0,0.0,2564110257.0,3018612.0,58780910.0,2260681468.0,2166258216.0,94355937.0,235776123.0,76711024.0,84836736.0,164371176.0,0.0,5596868.0,0.0,73643.0,base-activeLogic_2-Layer_6x_6z_1p_300s.csv,73643,6,6,True,72,1,300,2-Layer,,
4126407094.0,295934974666.0,59399642210304.0,4122346139648.0,73674875072512.0,34698479003.0,0.0,599839127.0,0.0,801547546.0,2504870.0,19004819.0,699859761.0,669813653.0,29988068.0,75342480.0,68159856.0,34369488.0,66590883.0,0.0,6046484.0,0.0,79559.0,base-activeLogic_3-Layer_3x_3z_1p_300s.csv,79559,3,3,True,27,1,300,3-Layer,,
4108503210.0,294077813722.0,58844718645248.0,4457577607168.0,73552907481088.0,35874260388.0,0.0,599101697.0,0.0,1336742200.0,2714330.0,31161102.0,1172582989.0,1122500641.0,50023855.0,125264155.0,68443153.0,56775600.0,110002725.0,0.0,5992980.0,0.0,78855.0,base-activeLogic_3-Layer_3x_5z_1p_300s.csv,78855,3,5,True,45,1,300,3-Layer,,
4140017673.0,294013142627.0,59552789282816.0,4475013517312.0,74181953818624.0,34639593543.0,0.0,581921609.0,0.0,1621500296.0,2662879.0,37415665.0,1424408910.0,1363278052.0,61071671.0,152061813.0,70710473.0,68733792.0,133171722.0,0.0,6046028.0,0.0,79553.0,base-activeLogic_3-Layer_3x_6z_1p_300s.csv,79553,3,6,True,54,1,300,3-Layer,,
3976884520.0,293201143013.0,63705130749952.0,4745701699584.0,74257593872384.0,36281455172.0,0.0,613891255.0,0.0,2504347419.0,2964614.0,69350852.0,2195303508.0,2102817153.0,92421968.0,231194328.0,74317649.0,93408000.0,180978000.0,0.0,5915840.0,0.0,77840.0,base-activeLogic_3-Layer_5x_5z_1p_300s.csv,77840,5,5,True,75,1,300,3-Layer,,
4134234546.0,293903727282.0,64872964444160.0,4117164699648.0,74851587452928.0,35024747905.0,0.0,574324320.0,0.0,2523516337.0,2522142.0,58694735.0,2209630301.0,2114533053.0,95033523.0,247678163.0,64949992.0,114060960.0,220993110.0,0.0,6019884.0,0.0,79209.0,base-activeLogic_3-Layer_5x_6z_1p_300s.csv,79209,5,6,True,90,1,300,3-Layer,,
3971515375.0,294035743535.0,61021810012160.0,4340378447872.0,70883719606272.0,37293315727.0,0.0,579853756.0,0.0,3459697424.0,2965884.0,75224382.0,3062001771.0,2938315244.0,123616500.0,313948697.0,65099692.0,133790400.0,259218900.0,0.0,5884300.0,0.0,77425.0,base-activeLogic_3-Layer_6x_6z_1p_300s.csv,77425,6,6,True,108,1,300,3-Layer,,
3858581034.0,293819824324.0,57428121071616.0,4760868773888.0,71900447252480.0,39128797891.0,0.0,632325570.0,0.0,3950790634.0,2908164.0,87478866.0,3496521794.0,3354870389.0,141577414.0,358174693.0,75107397.0,147116160.0,285037560.0,0.0,5823348.0,0.0,76623.0,base-activeLogic_4-Layer_5x_6z_1p_300s.csv,76623,5,6,True,120,1,300,4-Layer,0.0,0.0
3907276515.0,294138975888.0,62622564720640.0,4495355588608.0,72033619947520.0,38035278836.0,0.0,579619132.0,0.0,4668503544.0,2817338.0,99328953.0,4132323565.0,3963463254.0,168781155.0,428520665.0,67786322.0,177587712.0,344076192.0,0.0,5857928.0,0.0,77078.0,base-activeLogic_4-Layer_6x_6z_1p_300s.csv,77078,6,6,True,144,1,300,4-Layer,0.0,0.0
4034709295.0,294839736376.0,57971929903104.0,4585780305920.0,73545993428992.0,36516273649.0,0.0,596310060.0,0.0,3889601292.0,2677496.0,94735761.0,3436938630.0,3298875954.0,137980870.0,349922718.0,69538970.0,157406000.0,304974125.0,0.0,5981428.0,0.0,78703.0,base-activeLogic_5-Layer_5x_5z_1p_300s.csv,78703,5,5,True,125,1,300,5-Layer,0.0,0.0
3938111739.0,294129418900.0,58893777346560.0,4292677492736.0,72027217977344.0,39276870889.0,0.0,596717550.0,0.0,5543376966.0,3007813.0,122448886.0,4900685836.0,4703952430.0,196657680.0,510914509.0,67484714.0,185524800.0,359454300.0,0.0,5874952.0,0.0,77302.0,base-activeLogic_5-Layer_5x_6z_1p_300s.csv,77302,5,6,True,150,1,300,5-Layer,0.0,0.0
3619035070.0,294477252809.0,56970002845696.0,3976352296960.0,68716805632000.0,42471385476.0,0.0,608773291.0,0.0,7596498675.0,3826281.0,175406646.0,6650753936.0,6378481051.0,272164891.0,759228949.0,72621487.0,212788800.0,412278300.0,0.0,5615260.0,0.0,73885.0,base-activeLogic_5-Layer_6x_6z_1p_300s.csv,73885,6,6,True,180,1,300,5-Layer,0.0,0.0
4260711987.0,296127122833.0,56884767637504.0,4125148094464.0,73406993604608.0,34415460525.0,0.0,600375656.0,0.0,10098935.0,2629347.0,347325.0,1575061.0,1313387.0,228838.0,520093.0,69787013.0,0.0,0.0,0.0,6140344.0,0.0,80794.0,base-activeLogic_Empty_0x_0z_1p_300s.csv,80794,0,0,True,0,1,300,Empty,,
4457307690.0,296169031909.0,53783764594688.0,3928189206528.0,74771783581696.0,33569605056.0,271219.0,583546575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63687900.0,,,0.0,6279120.0,0.0,82620.0,base_Empty_0x_0z_1p_300s.csv,82620,0,0,False,0,1,300,Empty,,
